帧号,标记ID,X坐标原始(mm),Y坐标原始(mm),X坐标滤波(mm),Y坐标滤波(mm),时间戳(秒)
108,0,380.59,3.243,378.333,0.0,1.7833
109,0,377.635,-2.645,380.0,0.0,1.8
110,0,380.763,1.727,381.667,0.0,1.8167
111,0,383.907,2.446,383.333,0.0,1.8333
112,0,388.79,5.466,385.0,0.0,1.85
113,0,390.406,-2.555,386.667,0.0,1.8667
114,0,390.318,0.1,388.333,0.0,1.8833
115,0,392.037,0.363,390.0,0.0,1.9
116,0,389.457,-0.041,391.667,0.0,1.9167
117,0,393.09,1.153,393.333,0.0,1.9333
118,0,395.038,-1.248,395.0,0.0,1.95
119,0,397.875,-2.262,396.667,0.0,1.9667
120,0,398.4,-1.703,398.333,0.0,1.9833
121,0,400.83,0.897,400.0,0.0,2.0
122,0,398.858,0.549,401.667,0.0,2.0167
123,0,403.127,2.606,403.333,0.0,2.0333
124,0,403.602,-1.452,405.0,0.0,2.05
125,0,408.212,-1.101,406.667,0.0,2.0667
126,0,410.265,-3.297,408.333,0.0,2.0833
127,0,409.916,0.921,410.0,0.0,2.1
128,0,414.55,0.02,411.667,0.0,2.1167
129,0,415.876,1.239,413.333,0.0,2.1333
130,0,415.656,1.718,415.0,0.0,2.15
131,0,418.336,-1.159,416.667,0.0,2.1667
132,0,417.419,0.574,418.333,0.0,2.1833
133,0,422.284,1.579,420.0,0.0,2.2
134,0,418.686,0.314,421.667,0.0,2.2167
135,0,420.555,2.102,423.333,0.0,2.2333
136,0,426.664,2.473,425.0,0.0,2.25
137,0,425.337,-2.799,426.667,0.0,2.2667
138,0,429.891,0.416,428.333,0.0,2.2833
139,0,428.939,3.841,430.0,0.0,2.3
140,0,433.715,-0.894,431.667,0.0,2.3167
141,0,432.437,3.73,433.333,0.0,2.3333
142,0,434.875,-0.749,435.0,0.0,2.35
143,0,435.578,0.314,436.667,0.0,2.3667
144,0,440.731,-0.126,438.333,0.0,2.3833
145,0,440.402,-1.077,440.0,0.0,2.4
146,0,441.699,1.696,441.667,0.0,2.4167
147,0,442.145,-0.704,443.333,0.0,2.4333
148,0,446.306,-1.169,445.0,0.0,2.45
149,0,449.051,-2.773,446.667,0.0,2.4667
150,0,449.074,-0.125,448.333,0.0,2.4833
151,0,451.158,2.929,450.0,0.0,2.5
152,0,450.529,-2.549,451.667,0.0,2.5167
153,0,453.493,-1.112,453.333,0.0,2.5333
154,0,457.344,0.508,455.0,0.0,2.55
155,0,458.59,-6.28,456.667,0.0,2.5667
156,0,460.54,-2.884,458.333,0.0,2.5833
157,0,459.325,1.771,460.0,0.0,2.6
158,0,460.995,3.012,461.667,0.0,2.6167
159,0,462.829,0.53,463.333,0.0,2.6333
160,0,466.869,2.789,465.0,0.0,2.65
161,0,464.502,1.82,466.667,0.0,2.6667
162,0,467.458,-0.487,468.333,0.0,2.6833
163,0,468.28,-1.691,470.0,0.0,2.7
164,0,472.332,1.171,471.667,0.0,2.7167
165,0,474.057,-1.748,473.333,0.0,2.7333
166,0,476.662,0.535,475.0,0.0,2.75
167,0,473.296,-1.279,476.667,0.0,2.7667
168,0,479.195,-2.832,478.333,0.0,2.7833
169,0,482.099,-1.994,480.0,0.0,2.8
170,0,481.733,2.634,481.667,0.0,2.8167
171,0,484.118,0.558,483.333,0.0,2.8333
172,0,482.835,1.301,485.0,0.0,2.85
173,0,484.484,0.826,486.667,0.0,2.8667
174,0,488.048,-0.296,488.333,0.0,2.8833
175,0,490.979,-2.096,490.0,0.0,2.9
176,0,495.268,0.502,491.667,0.0,2.9167
177,0,493.177,1.145,493.333,0.0,2.9333
178,0,492.925,-2.426,495.0,0.0,2.95
179,0,495.559,2.061,496.667,0.0,2.9667
180,0,497.899,-2.411,498.333,0.0,2.9833
181,0,502.227,-1.401,500.0,0.0,3.0
182,0,501.23,-3.156,501.667,0.0,3.0167
183,0,502.115,-2.582,503.333,0.0,3.0333
184,0,504.274,-2.137,505.0,0.0,3.05
185,0,508.868,-0.104,506.667,0.0,3.0667
186,0,508.164,2.046,508.333,0.0,3.0833
187,0,510.243,3.982,510.0,0.0,3.1
188,0,510.738,2.079,511.667,0.0,3.1167
189,0,510.051,4.58,513.333,0.0,3.1333
190,0,517.018,-1.737,515.0,0.0,3.15
191,0,515.884,1.607,516.667,0.0,3.1667
192,0,516.796,2.581,518.333,0.0,3.1833
193,0,518.263,2.581,520.0,0.0,3.2
194,0,519.142,1.474,521.667,0.0,3.2167
195,0,523.794,0.336,523.333,0.0,3.2333
196,0,523.681,0.402,525.0,0.0,3.25
197,0,526.365,0.293,526.667,0.0,3.2667
198,0,526.676,0.267,528.333,0.0,3.2833
199,0,528.923,-0.963,530.0,0.0,3.3
200,0,533.833,-0.1,531.667,0.0,3.3167
201,0,533.417,1.964,533.333,0.0,3.3333
202,0,534.281,0.292,535.0,0.0,3.35
203,0,533.75,-0.555,536.667,0.0,3.3667
204,0,536.74,1.358,538.333,0.0,3.3833
205,0,542.698,3.445,540.0,0.0,3.4
206,0,539.62,5.367,541.667,0.0,3.4167
207,0,543.881,2.082,543.333,0.0,3.4333
208,0,546.403,2.315,545.0,0.0,3.45
209,0,543.507,-1.117,546.667,0.0,3.4667
210,0,549.25,-1.582,548.333,0.0,3.4833
211,0,549.02,3.662,550.0,0.0,3.5
212,0,556.082,2.191,551.667,0.0,3.5167
213,0,555.238,-1.31,553.333,0.0,3.5333
214,0,555.967,2.558,555.0,0.0,3.55
215,0,559.844,-0.042,556.667,0.0,3.5667
216,0,556.03,-2.673,558.333,0.0,3.5833
217,0,562.631,1.119,560.0,0.0,3.6
218,0,560.076,2.62,561.667,0.0,3.6167
219,0,563.456,3.288,563.333,0.0,3.6333
220,0,559.631,-0.773,565.0,0.0,3.65
221,0,568.285,1.567,566.667,0.0,3.6667
222,0,569.881,-2.77,568.333,0.0,3.6833
223,0,569.553,2.382,570.0,0.0,3.7
224,0,570.479,-3.399,571.667,0.0,3.7167
225,0,568.122,1.233,573.333,0.0,3.7333
226,0,573.119,-0.311,575.0,0.0,3.75
227,0,578.659,4.009,576.667,0.0,3.7667
228,0,580.05,-0.312,578.333,0.0,3.7833
229,0,581.304,-0.889,580.0,0.0,3.8
230,0,582.43,1.131,581.667,0.0,3.8167
231,0,581.03,1.874,583.333,0.0,3.8333
232,0,585.412,2.635,585.0,0.0,3.85
233,0,586.296,-0.333,586.667,0.0,3.8667
234,0,588.262,-3.178,588.333,0.0,3.8833
235,0,588.267,-0.52,590.0,0.0,3.9
236,0,591.347,-1.239,591.667,0.0,3.9167
237,0,588.063,1.738,593.333,0.0,3.9333
238,0,594.652,0.052,595.0,0.0,3.95
239,0,599.461,3.083,596.667,0.0,3.9667
240,0,597.25,-0.479,598.333,0.0,3.9833
241,0,597.19,2.237,600.0,0.0,4.0
242,0,603.838,-0.382,601.667,0.0,4.0167
243,0,604.405,-2.682,603.333,0.0,4.0333
244,0,604.774,-1.788,605.0,0.0,4.05
245,0,607.354,1.265,606.667,0.0,4.0667
246,0,607.004,5.119,608.333,0.0,4.0833
247,0,612.621,2.085,610.0,0.0,4.1
248,0,610.994,-1.083,611.667,0.0,4.1167
249,0,611.135,0.843,613.333,0.0,4.1333
250,0,613.046,0.74,615.0,0.0,4.15
251,0,618.362,1.443,616.667,0.0,4.1667
252,0,619.656,0.334,618.333,0.0,4.1833
253,0,619.355,2.827,620.0,0.0,4.2
254,0,623.466,-2.866,621.667,0.0,4.2167
255,0,623.794,3.3,623.333,0.0,4.2333
256,0,623.586,-0.996,625.0,0.0,4.25
257,0,627.348,2.55,626.667,0.0,4.2667
258,0,627.492,-2.242,628.333,0.0,4.2833
259,0,629.618,2.573,630.0,0.0,4.3
260,0,633.806,2.936,631.667,0.0,4.3167
261,0,632.661,-0.927,633.333,0.0,4.3333
262,0,636.465,1.85,635.0,0.0,4.35
263,0,638.823,-0.098,636.667,0.0,4.3667
264,0,639.437,-0.619,638.333,0.0,4.3833
265,0,638.238,2.416,640.0,0.0,4.4
266,0,640.691,0.13,641.667,0.0,4.4167
267,0,643.155,-0.206,643.333,0.0,4.4333
268,0,642.792,3.693,645.0,0.0,4.45
269,0,647.387,2.229,646.667,0.0,4.4667
270,0,642.226,-1.134,648.333,0.0,4.4833
271,0,651.589,4.151,650.0,0.0,4.5
272,0,652.434,-3.577,651.667,0.0,4.5167
273,0,651.923,-0.996,653.333,0.0,4.5333
274,0,655.967,-1.601,655.0,0.0,4.55
275,0,654.488,-0.992,656.667,0.0,4.5667
276,0,657.517,-2.166,658.333,0.0,4.5833
277,0,655.496,1.659,660.0,0.0,4.6
278,0,662.245,0.71,661.667,0.0,4.6167
279,0,665.542,-1.806,663.333,0.0,4.6333
280,0,661.608,-0.098,665.0,0.0,4.65
281,0,668.297,-1.437,666.667,0.0,4.6667
282,0,667.552,-0.954,668.333,0.0,4.6833
283,0,667.449,0.803,670.0,0.0,4.7
284,0,669.633,1.126,671.667,0.0,4.7167
285,0,674.147,-1.47,673.333,0.0,4.7333
286,0,673.68,-1.118,675.0,0.0,4.75
287,0,674.829,2.942,676.667,0.0,4.7667
288,0,677.992,2.055,678.333,0.0,4.7833
289,0,683.225,1.445,680.0,0.0,4.8
290,0,680.752,1.81,681.667,0.0,4.8167
291,0,685.719,-0.777,683.333,0.0,4.8333
292,0,684.317,-0.081,685.0,0.0,4.85
293,0,686.851,-1.881,686.667,0.0,4.8667
294,0,687.854,-1.967,688.333,0.0,4.8833
295,0,689.36,0.311,690.0,0.0,4.9
296,0,691.034,-1.075,691.667,0.0,4.9167
297,0,691.16,2.874,693.333,0.0,4.9333
298,0,694.598,2.122,695.0,0.0,4.95
299,0,695.399,-1.293,696.667,0.0,4.9667
300,0,698.005,1.262,698.333,0.0,4.9833
301,0,698.368,-0.709,700.0,0.0,5.0
302,0,700.152,2.819,701.667,0.0,5.0167
303,0,699.409,-2.321,703.333,0.0,5.0333
304,0,703.107,2.911,705.0,0.0,5.05
305,0,704.306,0.69,706.667,0.0,5.0667
306,0,708.875,-1.5,708.333,0.0,5.0833
307,0,711.095,1.381,710.0,0.0,5.1
308,0,709.892,-1.695,711.667,0.0,5.1167
309,0,711.116,1.766,713.333,0.0,5.1333
310,0,717.122,3.683,715.0,0.0,5.15
311,0,714.047,3.25,716.667,0.0,5.1667
312,0,719.817,-0.286,718.333,0.0,5.1833
313,0,717.552,0.723,720.0,0.0,5.2
314,0,723.702,0.6,721.667,0.0,5.2167
315,0,722.993,-2.572,723.333,0.0,5.2333
316,0,725.021,2.637,725.0,0.0,5.25
317,0,727.971,-0.605,726.667,0.0,5.2667
318,0,726.643,0.186,728.333,0.0,5.2833
319,0,731.191,2.528,730.0,0.0,5.3
320,0,730.105,-0.111,731.667,0.0,5.3167
321,0,733.569,-1.999,733.333,0.0,5.3333
322,0,734.544,1.556,735.0,0.0,5.35
323,0,739.834,5.625,736.667,0.0,5.3667
324,0,738.603,-1.251,738.333,0.0,5.3833
325,0,739.497,0.867,740.0,0.0,5.4
326,0,742.531,2.048,741.667,0.0,5.4167
327,0,746.869,-0.863,743.333,0.0,5.4333
328,0,744.235,3.345,745.0,0.0,5.45
329,0,745.312,1.163,746.667,0.0,5.4667
330,0,748.956,-0.485,748.333,0.0,5.4833
331,0,752.054,-0.338,750.0,0.0,5.5
332,0,752.926,1.258,751.667,0.0,5.5167
333,0,752.828,-2.651,753.333,0.0,5.5333
334,0,752.366,0.208,755.0,0.0,5.55
335,0,756.003,0.48,756.667,0.0,5.5667
336,0,760.251,-0.682,758.333,0.0,5.5833
337,0,759.23,0.484,760.0,0.0,5.6
338,0,760.91,0.519,761.667,0.0,5.6167
339,0,762.35,0.377,763.333,0.0,5.6333
340,0,766.476,0.235,765.0,0.0,5.65
341,0,766.35,-3.257,766.667,0.0,5.6667
342,0,770.92,-2.028,768.333,0.0,5.6833
343,0,769.818,-0.024,770.0,0.0,5.7
344,0,773.57,-2.566,771.667,0.0,5.7167
345,0,776.117,-4.204,773.333,0.0,5.7333
346,0,775.169,0.246,775.0,0.0,5.75
347,0,776.568,-1.491,776.667,0.0,5.7667
348,0,779.215,-0.726,778.333,0.0,5.7833
349,0,776.897,0.693,780.0,0.0,5.8
350,0,782.58,-0.331,781.667,0.0,5.8167
351,0,781.641,2.491,783.333,0.0,5.8333
352,0,786.466,-4.335,785.0,0.0,5.85
353,0,787.465,1.99,786.667,0.0,5.8667
354,0,790.05,-0.815,788.333,0.0,5.8833
355,0,789.463,2.691,790.0,0.0,5.9
356,0,793.751,-1.403,791.667,0.0,5.9167
357,0,792.679,1.08,793.333,0.0,5.9333
358,0,792.774,3.808,795.0,0.0,5.95
359,0,794.956,-0.025,796.667,0.0,5.9667
360,0,795.444,0.083,798.333,0.0,5.9833
361,0,798.696,1.573,800.0,0.0,6.0
362,0,801.449,-0.138,801.667,0.0,6.0167
363,0,804.814,2.551,803.333,0.0,6.0333
364,0,804.754,-1.12,805.0,0.0,6.05
365,0,806.912,1.072,806.667,0.0,6.0667
366,0,805.901,3.376,808.333,0.0,6.0833
367,0,810.169,-1.364,810.0,0.0,6.1
368,0,812.866,-1.296,811.667,0.0,6.1167
369,0,814.354,-0.661,813.333,0.0,6.1333
370,0,814.365,-2.142,815.0,0.0,6.15
371,0,815.487,1.669,816.667,0.0,6.1667
372,0,819.803,-0.201,818.333,0.0,6.1833
373,0,819.335,-1.4,820.0,0.0,6.2
374,0,818.472,-0.317,821.667,0.0,6.2167
375,0,823.748,0.82,823.333,0.0,6.2333
376,0,826.357,-0.337,825.0,0.0,6.25
377,0,822.56,-0.273,826.667,0.0,6.2667
378,0,828.995,3.675,828.333,0.0,6.2833
379,0,827.577,1.883,830.0,0.0,6.3
380,0,834.718,-4.217,831.667,0.0,6.3167
381,0,831.097,3.2,833.333,0.0,6.3333
382,0,834.381,1.105,835.0,0.0,6.35
383,0,837.39,-1.989,836.667,0.0,6.3667
384,0,839.912,-0.914,838.333,0.0,6.3833
385,0,840.92,1.742,840.0,0.0,6.4
386,0,842.164,1.622,841.667,0.0,6.4167
387,0,843.713,-0.147,843.333,0.0,6.4333
388,0,846.872,-0.858,845.0,0.0,6.45
389,0,848.393,-2.047,846.667,0.0,6.4667
390,0,849.052,-0.667,848.333,0.0,6.4833
391,0,847.61,-1.472,850.0,0.0,6.5
392,0,852.878,2.162,851.667,0.0,6.5167
393,0,852.982,3.502,853.333,0.0,6.5333
394,0,855.758,-1.13,855.0,0.0,6.55
395,0,855.675,0.617,856.667,0.0,6.5667
396,0,860.036,0.997,858.333,0.0,6.5833
397,0,860.614,2.422,860.0,0.0,6.6
398,0,864.798,2.831,861.667,0.0,6.6167
399,0,866.215,0.103,863.333,0.0,6.6333
400,0,865.374,2.229,865.0,0.0,6.65
401,0,867.322,1.195,866.667,0.0,6.6667
402,0,865.162,1.904,868.333,0.0,6.6833
403,0,867.95,-1.432,870.0,0.0,6.7
404,0,869.303,2.05,871.667,0.0,6.7167
405,0,873.811,-1.054,873.333,0.0,6.7333
406,0,876.849,-0.901,875.0,0.0,6.75
407,0,876.6,4.118,876.667,0.0,6.7667
408,0,875.181,0.775,878.333,0.0,6.7833
409,0,879.434,-0.924,880.0,0.0,6.8
410,0,879.414,0.646,881.667,0.0,6.8167
411,0,883.79,1.949,883.333,0.0,6.8333
412,0,882.996,4.09,885.0,0.0,6.85
413,0,888.368,-3.657,886.667,0.0,6.8667
414,0,889.048,-0.187,888.333,0.0,6.8833
415,0,892.038,-2.892,890.0,0.0,6.9
416,0,890.922,2.031,891.667,0.0,6.9167
417,0,894.053,-3.95,893.333,0.0,6.9333
418,0,895.679,-1.187,895.0,0.0,6.95
419,0,895.601,1.316,896.667,0.0,6.9667
420,0,897.037,0.951,898.333,0.0,6.9833
421,0,899.569,2.302,900.0,0.0,7.0
422,0,899.444,-2.553,901.667,0.0,7.0167
423,0,904.406,-1.969,903.333,0.0,7.0333
424,0,905.234,-2.535,905.0,0.0,7.05
425,0,900.608,-1.671,906.667,0.0,7.0667
426,0,904.444,-3.673,908.333,0.0,7.0833
427,0,908.179,1.554,910.0,0.0,7.1
428,0,911.82,2.899,911.667,0.0,7.1167
429,0,914.287,-1.091,913.333,0.0,7.1333
430,0,913.104,-1.762,915.0,0.0,7.15
431,0,913.17,0.647,916.667,0.0,7.1667
432,0,919.307,2.573,918.333,0.0,7.1833
433,0,918.47,-2.141,920.0,0.0,7.2
434,0,920.361,1.001,921.667,0.0,7.2167
435,0,925.285,-0.677,923.333,0.0,7.2333
436,0,923.02,-1.288,925.0,0.0,7.25
437,0,925.8,1.565,926.667,0.0,7.2667
438,0,927.603,1.057,928.333,0.0,7.2833
439,0,931.5,1.094,930.0,0.0,7.3
440,0,931.553,-2.501,931.667,0.0,7.3167
441,0,932.364,2.869,933.333,0.0,7.3333
442,0,935.558,-0.089,935.0,0.0,7.35
443,0,934.355,0.859,936.667,0.0,7.3667
444,0,939.12,-0.444,938.333,0.0,7.3833
445,0,937.925,5.095,940.0,0.0,7.4
446,0,941.983,2.174,941.667,0.0,7.4167
447,0,942.107,2.368,943.333,0.0,7.4333
448,0,946.035,-2.742,945.0,0.0,7.45
449,0,944.162,-1.547,946.667,0.0,7.4667
450,0,953.283,-0.16,948.333,0.0,7.4833
451,0,946.9,1.258,950.0,0.0,7.5
452,0,952.686,-1.552,951.667,0.0,7.5167
453,0,950.323,-0.339,953.333,0.0,7.5333
454,0,955.801,1.485,955.0,0.0,7.55
455,0,955.952,-3.098,956.667,0.0,7.5667
456,0,960.696,-2.378,958.333,0.0,7.5833
457,0,961.245,-1.107,960.0,0.0,7.6
458,0,963.236,2.214,961.667,0.0,7.6167
459,0,967.679,0.573,963.333,0.0,7.6333
460,0,965.447,0.833,965.0,0.0,7.65
461,0,967.628,1.01,966.667,0.0,7.6667
462,0,970.142,2.805,968.333,0.0,7.6833
463,0,968.896,3.838,970.0,0.0,7.7
464,0,969.68,-0.431,971.667,0.0,7.7167
465,0,973.384,-0.998,973.333,0.0,7.7333
466,0,975.64,-1.464,975.0,0.0,7.75
467,0,977.463,-4.306,976.667,0.0,7.7667
468,0,977.291,-2.63,978.333,0.0,7.7833
469,0,980.448,-0.055,980.0,0.0,7.8
470,0,979.826,-1.469,981.667,0.0,7.8167
471,0,980.519,2.026,983.333,0.0,7.8333
472,0,988.938,-1.42,985.0,0.0,7.85
473,0,984.331,0.705,986.667,0.0,7.8667
474,0,988.544,0.104,988.333,0.0,7.8833
475,0,988.094,-0.191,990.0,0.0,7.9
476,0,991.387,-0.521,991.667,0.0,7.9167
477,0,994.07,-0.223,993.333,0.0,7.9333
478,0,996.037,0.634,995.0,0.0,7.95
479,0,995.094,0.778,996.667,0.0,7.9667
480,0,997.215,0.089,998.333,0.0,7.9833
481,0,998.911,4.679,1000.0,0.0,8.0
482,0,1000.681,-1.761,1001.667,0.0,8.0167
483,0,1002.022,2.402,1003.333,0.0,8.0333
484,0,1007.423,-1.118,1005.0,0.0,8.05
485,0,1007.386,-0.691,1006.667,0.0,8.0667
486,0,1011.375,-3.111,1008.333,0.0,8.0833
487,0,1010.066,2.033,1010.0,0.0,8.1
488,0,1011.702,-5.26,1011.667,0.0,8.1167
489,0,1010.231,-2.028,1013.333,0.0,8.1333
490,0,1013.44,1.382,1015.0,0.0,8.15
491,0,1020.321,-0.841,1016.667,0.0,8.1667
492,0,1019.713,-1.963,1018.333,0.0,8.1833
493,0,1021.692,2.301,1020.0,0.0,8.2
494,0,1022.873,1.249,1021.667,0.0,8.2167
495,0,1024.358,1.112,1023.333,0.0,8.2333
496,0,1024.116,2.068,1025.0,0.0,8.25
497,0,1023.297,0.059,1026.667,0.0,8.2667
498,0,1027.065,3.013,1028.333,0.0,8.2833
499,0,1030.712,-2.046,1030.0,0.0,8.3
500,0,1025.915,1.259,1031.667,0.0,8.3167
501,0,1032.171,-0.956,1033.333,0.0,8.3333
502,0,1033.906,0.891,1035.0,0.0,8.35
503,0,1036.947,3.024,1036.667,0.0,8.3667
504,0,1036.252,2.035,1038.333,0.0,8.3833
505,0,1038.301,2.996,1040.0,0.0,8.4
506,0,1044.489,0.008,1041.667,0.0,8.4167
507,0,1046.848,-3.977,1043.333,0.0,8.4333
508,0,1043.933,-2.289,1045.0,0.0,8.45
509,0,1045.647,1.196,1046.667,0.0,8.4667
510,0,1051.266,0.352,1048.333,0.0,8.4833
511,0,1051.69,-0.695,1050.0,0.0,8.5
512,0,1053.123,-0.025,1051.667,0.0,8.5167
513,0,1051.949,0.118,1053.333,0.0,8.5333
514,0,1059.739,-1.645,1055.0,0.0,8.55
515,0,1055.026,1.262,1056.667,0.0,8.5667
516,0,1058.466,0.734,1058.333,0.0,8.5833
517,0,1061.164,1.971,1060.0,0.0,8.6
518,0,1059.578,-0.309,1061.667,0.0,8.6167
519,0,1062.202,-1.372,1063.333,0.0,8.6333
520,0,1061.635,-0.988,1065.0,0.0,8.65
521,0,1066.82,-2.113,1066.667,0.0,8.6667
522,0,1070.332,0.997,1068.333,0.0,8.6833
523,0,1070.246,-0.542,1070.0,0.0,8.7
524,0,1070.645,-1.007,1071.667,0.0,8.7167
525,0,1076.029,0.793,1073.333,0.0,8.7333
526,0,1075.637,0.024,1075.0,0.0,8.75
527,0,1078.037,-0.843,1076.667,0.0,8.7667
528,0,1079.653,2.512,1078.333,0.0,8.7833
529,0,1079.501,0.321,1080.0,0.0,8.8
530,0,1085.015,-1.326,1081.667,0.0,8.8167
531,0,1081.842,-0.551,1083.333,0.0,8.8333
532,0,1088.266,-0.385,1085.0,0.0,8.85
533,0,1088.789,-0.509,1086.667,0.0,8.8667
534,0,1086.948,-3.616,1088.333,0.0,8.8833
535,0,1090.056,0.097,1090.0,0.0,8.9
536,0,1093.506,0.655,1091.667,0.0,8.9167
537,0,1092.644,-3.757,1093.333,0.0,8.9333
538,0,1096.51,2.827,1095.0,0.0,8.95
539,0,1101.167,1.562,1096.667,0.0,8.9667
540,0,1097.7,0.35,1098.333,0.0,8.9833
541,0,1100.284,0.463,1100.0,0.0,9.0
542,0,1101.293,1.135,1101.667,0.0,9.0167
543,0,1104.515,2.318,1103.333,0.0,9.0333
544,0,1106.046,-0.693,1105.0,0.0,9.05
545,0,1109.562,-4.035,1106.667,0.0,9.0667
546,0,1107.661,3.982,1108.333,0.0,9.0833
